block,Trialtype,withinblocktrial,RTdec,resp,cor,dots direction,cor_resp,coherence,scale,SR_conf,RTrating,sub,age,gender,handedness,
0,Training - easy,0,0.961078499967698,up,1,90,up,0.8,,,,0,30,Man,Right,
0,Training - easy,1,0.3994117000256665,down,1,270,down,0.8,,,,0,30,Man,Right,
0,Training - easy,2,0.3326700999750756,up,1,90,up,0.8,,,,0,30,Man,Right,
0,Training - easy,3,0.30174170003738254,down,1,270,down,0.8,,,,0,30,Man,Right,
0,Training - easy,4,0.4494296000339091,down,1,270,down,0.8,,,,0,30,Man,Right,
0,Training - hard,0,0.37222850002581254,down,1,270,down,0.4,,,,0,30,Man,Right,
0,Training - hard,1,0.36800830002175644,down,0,90,up,0.4,,,,0,30,Man,Right,
0,Training - hard,2,0.5171090000076219,down,1,270,down,0.4,,,,0,30,Man,Right,
0,Training - hard,3,0.35103560000425205,up,1,90,up,0.4,,,,0,30,Man,Right,
0,Training - hard,4,0.4489303000154905,down,1,270,down,0.4,,,,0,30,Man,Right,
1,Training - scales,0,0.739791999978479,up,1,90,up,1.0,conf,None,4.032200499961618,0,30,Man,Right,
1,Training - scales,1,1.0945844000088982,down,1,270,down,0.4,conf,None,4.033299900009297,0,30,Man,Right,
