thisRow.t,notes,block,Trialtype,withinblocktrial,RTdec,resp,cor,dots direction,cor_resp,coherence,scale,SR_conf,RTrating,interval,interTrial.interval,sub,age,gender,handedness,
,,0,Training - easy,0,nan,[],0,90,up,0.8,,,,,,0,30,Man,Right,
,,0,Training - easy,1,0.3655352001078427,up,1,90,up,0.8,,,,,,0,30,Man,Right,
,,0,Training - easy,2,0.3342322001699358,down,1,270,down,0.8,,,,,,0,30,Man,Right,
,,0,Training - easy,3,0.2860771999694407,up,0,270,down,0.8,,,,,,0,30,Man,Right,
,,0,Training - easy,4,0.667793600121513,down,1,270,down,0.8,,,,,,0,30,Man,Right,
,,0,Training - hard,0,0.44204160012304783,down,1,270,down,0.4,,,,,,0,30,Man,Right,
,,0,Training - hard,1,0.43399700010195374,down,1,270,down,0.4,,,,,,0,30,Man,Right,
,,0,Training - hard,2,0.4173024999909103,down,0,90,up,0.4,,,,,,0,30,Man,Right,
,,0,Training - hard,3,0.46707149990834296,down,1,270,down,0.4,,,,,,0,30,Man,Right,
,,0,Training - hard,4,0.3339140999596566,up,1,90,up,0.4,,,,,,0,30,Man,Right,
,,1,Training - scales,0,0.5098172998987138,down,1,270,down,0.7,control,0.72,2.6327504999935627,,,0,30,Man,Right,
,,1,Training - scales,1,0.49992710002698004,down,0,90,up,0.4,control,0.5,0.3487601999659091,,,0,30,Man,Right,
,,1,Training - scales,2,0.6505579999648035,down,1,270,down,1.0,conf,0.5,0.30041799996979535,,,0,30,Man,Right,
,,1,Training - scales,3,0.38416039990261197,down,0,90,up,0.1,conf,0.5,0.31665169983170927,,,0,30,Man,Right,
,,2,Main,0,0.8384838998317719,down,0,90,up,0.5353061224489796,conf,0.5,0.31147009995765984,2.625795649736441,3.5882697923543936,0,30,Man,Right,
,,2,Main,1,0.5463632000610232,down,0,90,up,0.7575510204081632,conf,0.5,0.41740179993212223,1.8282190829796328,3.5453004699992547,0,30,Man,Right,
,,2,Main,2,0.5261232999619097,down,1,270,down,0.8585714285714285,conf,0.5,0.5222729002125561,4.770279793041228,2.4008899705831284,0,30,Man,Right,
,,2,Main,3,0.5818314000498503,down,1,270,down,0.8383673469387755,conf,0.5,0.4355121001135558,3.8602993104550527,3.1122327995918426,0,30,Man,Right,
,,2,Main,4,0.5401945998892188,down,1,270,down,0.8383673469387755,conf,0.5,0.9677496999502182,3.0387671507612986,1.8376306406496146,0,30,Man,Right,
,,2,Main,5,0.8465856001712382,up,1,90,up,0.8181632653061224,conf,0.5,0.854990900028497,3.9398550828640877,2.8683453225683926,0,30,Man,Right,
,,2,Main,6,0.5325814001262188,down,1,270,down,0.7777551020408163,conf,0.5,0.5772931000683457,2.4045730613901313,1.7463971774023541,0,30,Man,Right,
,,2,Main,7,0.6898920000530779,down,1,270,down,0.7171428571428571,conf,0.5,0.9192188000306487,1.8026621142657964,3.3991781761488613,0,30,Man,Right,
,,2,Main,8,0.45303179998882115,up,1,90,up,0.6969387755102041,conf,0.5,0.5441507000941783,4.841837300464334,1.9821775922524103,0,30,Man,Right,
,,2,Main,9,0.46930600004270673,up,1,90,up,0.656530612244898,conf,0.5,0.876828100066632,3.875409687537647,2.138099621520744,0,30,Man,Right,
,,3,Main,0,0.46930600004270673,[],0,270,down,0.656530612244898,None,None,None,None,1.0631613124141557,0,30,Man,Right,
,,3,Main,1,1.0037408000789583,down,1,270,down,0.8383673469387755,control,0.5,1.210630200104788,2.142539074364469,2.5927731936765968,0,30,Man,Right,
,,3,Main,2,0.5245127000380307,up,1,90,up,0.8181632653061224,control,0.5,0.9081619000062346,1.5660359695574242,1.160956740594392,0,30,Man,Right,
,,3,Main,3,0.5768776999320835,up,1,90,up,0.7171428571428571,control,0.5,0.5941411999519914,2.4147499663147434,3.0507510441160357,0,30,Man,Right,
,,3,Main,4,0.5186349998693913,up,1,90,up,0.676734693877551,control,0.5,0.5970211999956518,2.088095621307712,2.785044664405359,0,30,Man,Right,
,,3,Main,5,0.4491797999944538,down,1,270,down,0.7171428571428571,control,0.5,0.46522779995575547,1.7501510401268712,2.7622048596581736,0,30,Man,Right,
,,3,Main,6,0.5056658000685275,up,1,90,up,0.5959183673469388,control,0.5,1.0992745999246836,2.622673380873392,2.841079465539001,0,30,Man,Right,
,,3,Main,7,0.6603506000246853,down,1,270,down,0.5151020408163265,control,0.5,1.1855476999189705,4.940006122504895,1.8644487678799,0,30,Man,Right,
,,3,Main,8,0.4199053000193089,up,1,90,up,0.5757142857142857,control,0.5,0.557331700110808,2.845836078804542,2.286777831364558,0,30,Man,Right,
,,3,Main,9,1.0339407999999821,down,1,270,down,0.4746938775510204,control,0.5,0.7003041999414563,2.1824285296345485,1.688357870464383,0,30,Man,Right,
,,4,Main,0,0.5948570999316871,up,1,90,up,0.49489795918367346,conf,0.5,0.5752359998878092,2.8681707037918436,3.737633049423205,0,30,Man,Right,
