block,Trialtype,withinblocktrial,RTdec,resp,cor,dots direction,cor_resp,coherence,scale,SR_conf,RTrating,sub,age,gender,handedness,
0,Training - easy,0,0.851813499990385,down,1,270,down,0.8,,,,0,30,Man,Right,
0,Training - easy,1,0.4837726000114344,down,1,270,down,0.8,,,,0,30,Man,Right,
0,Training - easy,2,0.3685439999680966,up,1,90,up,0.8,,,,0,30,Man,Right,
0,Training - easy,3,0.4159304999629967,up,1,90,up,0.8,,,,0,30,Man,Right,
0,Training - easy,4,0.3667382000130601,down,1,270,down,0.8,,,,0,30,Man,Right,
0,Training - hard,0,0.42661699996097013,down,1,270,down,0.4,,,,0,30,Man,Right,
0,Training - hard,1,0.39938489999622107,up,1,90,up,0.4,,,,0,30,Man,Right,
0,Training - hard,2,0.46604030003072694,down,1,270,down,0.4,,,,0,30,Man,Right,
0,Training - hard,3,0.38338880002265796,up,1,90,up,0.4,,,,0,30,Man,Right,
0,Training - hard,4,0.36664889997337013,down,1,270,down,0.4,,,,0,30,Man,Right,
1,Training - scales,0,0.433695700019598,up,1,90,up,1.0,conf,None,4.01725760003319,0,30,Man,Right,
1,Training - scales,1,0.728399499959778,down,1,270,down,0.1,control,None,4.033675199956633,0,30,Man,Right,
