thisRow.t,notes,block,Trialtype,withinblocktrial,RTdec,resp,cor,dots direction,cor_resp,coherence,scale,SR_conf,RTrating,interval,interTrial.interval,sub,age,gender,handedness,
,,0,Training - easy,0,0.6373191999737173,down,1,270,down,0.8,,,,,,0,30,Man,Right,
,,0,Training - easy,1,0.40034799999557436,down,1,270,down,0.8,,,,,,0,30,Man,Right,
,,0,Training - easy,2,0.7339527000440285,up,1,90,up,0.8,,,,,,0,30,Man,Right,
,,0,Training - easy,3,0.4325306000537239,down,1,270,down,0.8,,,,,,0,30,Man,Right,
,,0,Training - easy,4,0.7836762000224553,up,1,90,up,0.8,,,,,,0,30,Man,Right,
,,0,Training - hard,0,0.5109961000271142,down,0,90,up,0.4,,,,,,0,30,Man,Right,
,,0,Training - hard,1,0.3665684000006877,down,1,270,down,0.4,,,,,,0,30,Man,Right,
,,0,Training - hard,2,0.38461589999496937,down,1,270,down,0.4,,,,,,0,30,Man,Right,
,,0,Training - hard,3,0.6001527000335045,down,1,270,down,0.4,,,,,,0,30,Man,Right,
,,0,Training - hard,4,0.3823706000111997,up,1,90,up,0.4,,,,,,0,30,Man,Right,
,,1,Training - scales,0,0.5314537000376731,down,1,270,down,0.4,control,1.0,0.9322998999850824,,,0,30,Man,Right,
,,1,Training - scales,1,0.5176569000468589,down,1,270,down,1.0,conf,0.98,1.683660399983637,,,0,30,Man,Right,
,,1,Training - scales,2,0.5831606999854557,up,1,90,up,0.1,control,0.84,0.8498290000134148,,,0,30,Man,Right,
,,1,Training - scales,3,0.5340998999890871,up,1,90,up,0.7,conf,1.0,1.0996820000000298,,,0,30,Man,Right,
,,2,Main,0,0.7070246000075713,down,1,270,down,0.5353061224489796,conf,0.94,2.8190173000330105,2.452252793013849,1.3340775954632924,0,30,Man,Right,
,,2,Main,1,0.8011301000369713,up,1,90,up,0.45448979591836736,control,0.96,1.6606708000181243,3.2721471161480613,3.625984602454092,0,30,Man,Right,
,,2,Main,2,0.4770151999546215,up,1,90,up,0.39387755102040817,conf,0.96,0.9566621000412852,4.903623583784398,2.3223044956085994,0,30,Man,Right,
,,2,Main,3,0.47804329998325557,up,1,90,up,0.333265306122449,conf,0.12,0.8520453000091948,2.858052977014088,2.9740892005122372,0,30,Man,Right,
