block,Trialtype,withinblocktrial,RTdec,resp,cor,dots direction,cor_resp,coherence,sub,age,gender,handedness,
0,Training - easy,0,0.7788463999750093,up,1,90,up,0.8,0,30,Man,Right,
0,Training - easy,1,0.5185596999945119,down,1,270,down,0.8,0,30,Man,Right,
0,Training - easy,2,0.3829008999746293,down,1,270,down,0.8,0,30,Man,Right,
0,Training - easy,3,0.31742340000346303,up,1,90,up,0.8,0,30,Man,Right,
0,Training - easy,4,0.4493324999930337,down,1,270,down,0.8,0,30,Man,Right,
0,Training - hard,0,0.4443292999640107,down,1,270,down,0.4,0,30,Man,Right,
0,Training - hard,1,0.3685490000061691,down,1,270,down,0.4,0,30,Man,Right,
0,Training - hard,2,0.5652900999994017,up,1,90,up,0.4,0,30,Man,Right,
0,Training - hard,3,0.33311850001337007,down,0,90,up,0.4,0,30,Man,Right,
0,Training - hard,4,0.36643749999348074,down,1,270,down,0.4,0,30,Man,Right,
