thisRow.t,notes,block,Trialtype,withinblocktrial,RTdec,resp,cor,dots direction,cor_resp,coherence,sub,age,gender,handedness,
,,0,Training - easy,0,1.0182054999750108,down,1,270,down,0.8,0,30,Man,Right,
,,0,Training - easy,1,0.38368530001025647,up,1,90,up,0.8,0,30,Man,Right,
,,0,Training - easy,2,0.36731360002886504,down,1,270,down,0.8,0,30,Man,Right,
,,0,Training - easy,3,0.4330873999861069,up,0,270,down,0.8,0,30,Man,Right,
,,0,Training - easy,4,0.4163799000089057,up,1,90,up,0.8,0,30,Man,Right,
,,0,Training - hard,0,0.5681337999994867,up,0,270,down,0.4,0,30,Man,Right,
,,0,Training - hard,1,0.48395919997710735,down,1,270,down,0.4,0,30,Man,Right,
,,0,Training - hard,2,0.4502917999634519,up,1,90,up,0.4,0,30,Man,Right,
,,0,Training - hard,3,0.433980000030715,up,1,90,up,0.4,0,30,Man,Right,
,,0,Training - hard,4,0.350321400037501,down,1,270,down,0.4,0,30,Man,Right,
