block,Trialtype,withinblocktrial,RTdec,resp,cor,dots direction,cor_resp,coherence,sub,age,gender,handedness,
0,Training - easy,0,0.3731358000077307,down,1,270,down,0.8,0,30,Man,Right,
0,Training - easy,1,0.4164540999918245,up,1,90,up,0.8,0,30,Man,Right,
0,Training - easy,2,0.3672746000229381,down,1,270,down,0.8,0,30,Man,Right,
0,Training - easy,3,0.5165428000036627,up,1,90,up,0.8,0,30,Man,Right,
0,Training - easy,4,0.4176390999928117,down,1,270,down,0.8,0,30,Man,Right,
0,Training - hard,0,0.4763485000003129,up,1,90,up,0.4,0,30,Man,Right,
0,Training - hard,1,0.43321789999026805,up,1,90,up,0.4,0,30,Man,Right,
0,Training - hard,2,0.2998148999758996,down,1,270,down,0.4,0,30,Man,Right,
0,Training - hard,3,0.4502128000021912,down,1,270,down,0.4,0,30,Man,Right,
0,Training - hard,4,0.34968250000383705,down,1,270,down,0.4,0,30,Man,Right,
