thisRow.t,notes,block,Trialtype,withinblocktrial,RTdec,resp,cor,dots direction,cor_resp,coherence,scale,SR_conf,RTrating,interval,interTrial.interval,sub,age,gender,handedness,
,,0,Training - easy,0,0.7642634001094848,down,1,270,down,0.8,,,,,,0,30,Man,Right,
,,0,Training - easy,1,0.44276109989732504,down,1,270,down,0.8,,,,,,0,30,Man,Right,
,,0,Training - easy,2,0.4513784998562187,down,1,270,down,0.8,,,,,,0,30,Man,Right,
,,0,Training - easy,3,0.5180619999300689,up,1,90,up,0.8,,,,,,0,30,Man,Right,
,,0,Training - easy,4,0.43336199992336333,up,1,90,up,0.8,,,,,,0,30,Man,Right,
,,0,Training - hard,0,0.5834935000166297,down,1,270,down,0.4,,,,,,0,30,Man,Right,
,,0,Training - hard,1,0.4341662998776883,down,1,270,down,0.4,,,,,,0,30,Man,Right,
,,0,Training - hard,2,0.38591459998860955,down,0,90,up,0.4,,,,,,0,30,Man,Right,
,,0,Training - hard,3,0.45110700000077486,down,1,270,down,0.4,,,,,,0,30,Man,Right,
,,0,Training - hard,4,0.4835647998843342,up,1,90,up,0.4,,,,,,0,30,Man,Right,
,,1,Training - scales,0,0.5588114000856876,up,1,90,up,0.1,control,0.14,1.9332384001463652,,,0,30,Man,Right,
,,1,Training - scales,1,0.618173899827525,down,1,270,down,0.7,conf,0.72,0.6831565999891609,,,0,30,Man,Right,
,,1,Training - scales,2,0.43275749986059964,up,1,90,up,0.4,control,0.5,0.8328064000234008,,,0,30,Man,Right,
,,1,Training - scales,3,0.4666359000839293,down,1,270,down,1.0,conf,0.28,0.8334341999143362,,,0,30,Man,Right,
,,2,Main,0,0.8785902000963688,down,1,270,down,0.5353061224489796,control,0.9,0.9885474999900907,3.739228920959612,2.1579426230943874,0,30,Man,Right,
,,2,Main,1,0.6446527000516653,up,1,90,up,0.45448979591836736,conf,0.5,0.360544899944216,1.999579121284609,1.6348013308385019,0,30,Man,Right,
,,2,Main,2,0.7483244999311864,up,1,90,up,0.39387755102040817,control,None,None,4.972779579993842,2.731878195321478,0,30,Man,Right,
,,2,Main,3,0.813633400015533,up,1,90,up,0.333265306122449,conf,0.5,0.9291198998689651,2.499832840345685,3.419826485599658,0,30,Man,Right,
