thisRow.t,notes,block,Trialtype,withinblocktrial,RTdec,resp,cor,dots direction,cor_resp,coherence,scale,SR_conf,RTrating,interval,interTrial.interval,sub,age,gender,handedness,
,,0,Training - easy,0,0.5840653998311609,down,1,270,down,0.8,,,,,,0,30,Man,Right,
,,0,Training - easy,1,0.38297749985940754,down,1,270,down,0.8,,,,,,0,30,Man,Right,
,,0,Training - easy,2,0.3342433001380414,up,1,90,up,0.8,,,,,,0,30,Man,Right,
,,0,Training - easy,3,0.30053990008309484,down,1,270,down,0.8,,,,,,0,30,Man,Right,
,,0,Training - easy,4,0.31667509977705777,up,1,90,up,0.8,,,,,,0,30,Man,Right,
,,0,Training - hard,0,0.41760280006565154,up,1,90,up,0.4,,,,,,0,30,Man,Right,
,,0,Training - hard,1,0.3844437999650836,down,1,270,down,0.4,,,,,,0,30,Man,Right,
,,0,Training - hard,2,0.3181964000687003,up,0,270,down,0.4,,,,,,0,30,Man,Right,
,,0,Training - hard,3,0.4513512998819351,up,0,270,down,0.4,,,,,,0,30,Man,Right,
,,0,Training - hard,4,0.5831083001103252,up,1,90,up,0.4,,,,,,0,30,Man,Right,
,,1,Training - scales,0,0.6428900000173599,down,0,90,up,0.1,conf,0.5,0.43007420003414154,,,0,30,Man,Right,
,,1,Training - scales,1,0.5667924000881612,up,1,90,up,0.7,control,0.5,0.5001294000539929,,,0,30,Man,Right,
,,1,Training - scales,2,0.533439900027588,down,1,270,down,1.0,conf,0.5,0.36479969997890294,,,0,30,Man,Right,
,,1,Training - scales,3,0.40159039990976453,down,1,270,down,0.4,control,0.5,0.30013299989514053,,,0,30,Man,Right,
,,2,Main,0,0.6313858998473734,down,1,270,down,0.5353061224489796,conf,0.5,0.358530200086534,4.387453518385934,1.469722956851006,0,30,Man,Right,
,,2,Main,1,0.5658558001741767,down,1,270,down,0.45448979591836736,conf,0.5,0.5290551998186857,4.666031803377347,3.110285440993478,0,30,Man,Right,
,,2,Main,2,0.5236160999629647,up,1,90,up,0.39387755102040817,conf,0.5,0.5782247998286039,4.878273244339283,2.355259794250795,0,30,Man,Right,
,,2,Main,3,0.5950656000059098,up,1,90,up,0.333265306122449,conf,0.5,0.7694394001737237,3.107081984972211,2.3484574264929803,0,30,Man,Right,
,,2,Main,4,0.4730823999270797,up,0,270,down,0.2726530612244898,conf,0.5,0.35088019981049,2.688196474916749,1.7223396955659522,0,30,Man,Right,
,,2,Main,5,0.6805841000750661,down,1,270,down,0.4746938775510204,conf,0.5,0.7560318999458104,1.5739213878416907,1.59220999997772,0,30,Man,Right,
,,2,Main,6,0.40855709998868406,down,0,90,up,0.4342857142857143,conf,0.5,0.5309025999158621,2.226733860289661,3.6240615329961425,0,30,Man,Right,
,,2,Main,7,1.0281362000387162,up,1,90,up,0.5959183673469388,conf,0.5,0.3685764998663217,1.873725228706666,2.02551132552226,0,30,Man,Right,
,,2,Main,8,0.5774021001998335,up,1,90,up,0.5555102040816327,conf,0.5,0.5879325999412686,4.119594174036946,3.1816384107032225,0,30,Man,Right,
,,2,Main,9,0.6048056001309305,down,1,270,down,0.5353061224489796,conf,0.5,0.516524099977687,3.003822740723418,1.7761765573657888,0,30,Man,Right,
,,3,Main,0,0.9443177001085132,up,1,90,up,0.49489795918367346,control,0.5,0.9097331000957638,1.5831748813269035,3.7848303416664,0,30,Man,Right,
,,3,Main,1,0.5862678000703454,down,1,270,down,0.39387755102040817,control,0.5,0.410501099890098,2.2573208887101943,2.853320052114573,0,30,Man,Right,
,,3,Main,2,0.4812311001587659,up,1,90,up,0.3130612244897959,control,0.5,1.377646200126037,4.369524276583521,2.2286432080830325,0,30,Man,Right,
,,3,Main,3,0.6563374001998454,down,1,270,down,0.333265306122449,control,0.26,0.609975199913606,4.26237706090187,1.692639805912815,0,30,Man,Right,
,,3,Main,4,1.1927887999918312,up,0,270,down,0.3130612244897959,control,0.5,0.43746799998916686,3.0199403143034123,1.4688116792404164,0,30,Man,Right,
,,3,Main,5,0.7328731000889093,up,1,90,up,0.5151020408163265,control,0.5,0.7925614998675883,3.5389306118119404,1.121275767072055,0,30,Man,Right,
,,3,Main,6,0.7328731000889093,[],0,270,down,0.3736734693877551,None,None,None,None,2.5567462159696897,0,30,Man,Right,
,,3,Main,7,0.5592638999223709,down,1,270,down,0.4342857142857143,control,0.5,0.5335356998257339,4.441530131317452,1.628214862231432,0,30,Man,Right,
,,3,Main,8,0.5044728999491781,up,1,90,up,0.4746938775510204,control,0.5,0.8780305001419038,3.5571359700458105,3.6167421814393808,0,30,Man,Right,
,,3,Main,9,0.6177615001797676,up,1,90,up,0.39387755102040817,control,0.5,0.7553838999010623,4.877339773824563,2.6910428062630873,0,30,Man,Right,
,,4,Main,0,0.8957231000531465,up,1,90,up,0.4140816326530612,conf,0.5,0.44830829999409616,1.6638615054793482,3.5046581444769807,0,30,Man,Right,
,,4,Main,1,0.4612448997795582,up,1,90,up,0.3736734693877551,conf,0.5,0.5849123999942094,4.208771539649015,2.473940013989771,0,30,Man,Right,
,,4,Main,2,0.5275143999606371,down,1,270,down,0.49489795918367346,conf,0.5,1.2948074000887573,4.814576473121193,3.7468414035628728,0,30,Man,Right,
,,4,Main,3,0.5040155998431146,up,0,270,down,0.4342857142857143,conf,0.5,0.32663709996268153,3.475654659388703,2.678271101952161,0,30,Man,Right,
