block,Trialtype,withinblocktrial,RTdec,resp,cor,dots direction,cor_resp,coherence,scale,SR_conf,RTrating,sub,age,gender,handedness,
0,Training - easy,0,0.5653395000263117,up,1,90,up,0.8,,,,0,30,Man,Right,
0,Training - easy,1,0.3508484999765642,down,1,270,down,0.8,,,,0,30,Man,Right,
0,Training - easy,2,0.3498267999966629,down,0,90,up,0.8,,,,0,30,Man,Right,
0,Training - easy,3,0.3997463999548927,down,1,270,down,0.8,,,,0,30,Man,Right,
0,Training - easy,4,0.40054100000998005,down,1,270,down,0.8,,,,0,30,Man,Right,
0,Training - hard,0,0.6360323000117205,up,1,90,up,0.4,,,,0,30,Man,Right,
0,Training - hard,1,0.3659819000167772,down,1,270,down,0.4,,,,0,30,Man,Right,
0,Training - hard,2,0.3329657000140287,up,1,90,up,0.4,,,,0,30,Man,Right,
0,Training - hard,3,0.4488013000227511,down,1,270,down,0.4,,,,0,30,Man,Right,
0,Training - hard,4,0.54970350000076,down,1,270,down,0.4,,,,0,30,Man,Right,
1,Training - scales,0,0.4786088999826461,up,1,90,up,1.0,conf,None,4.034565499983728,0,30,Man,Right,
