thisRow.t,notes,block,Trialtype,withinblocktrial,RTdec,resp,cor,dots direction,cor_resp,coherence,scale,SR_conf,RTrating,interval,interTrial.interval,subject,age,gender,handedness,
,,2,Main,2,0.6498978000017814,down,1,270,down,0.39387755102040817,conf,0.6200000000000001,1.6853330999983882,4.458473175245593,3.6604066109831477,0,22,M,R,
,,2,Main,3,0.662690900000598,down,1,270,down,0.333265306122449,conf,0.1200000000000001,1.4722148000000743,4.620021241040956,1.7810608631148892,0,22,M,R,
,,2,Main,4,0.6886290000002191,up,1,90,up,0.2726530612244898,conf,0.24,1.0469045000027108,2.1845235983653657,2.6312319743840105,0,22,M,R,
,,2,Main,5,0.9059049999996205,up,0,270,down,0.2524489795918367,conf,0.06000000000000005,2.5028203999972902,4.347512696492512,2.5249652346915994,0,22,M,R,
,,2,Main,6,0.8447166000005382,down,1,270,down,0.4140816326530612,conf,0.3600000000000001,1.2232198999990942,3.3978977271855912,2.058288888894102,0,22,M,R,
,,2,Main,7,0.8134801000014704,down,1,270,down,0.39387755102040817,conf,0.3400000000000001,1.4626170999981696,1.7268878992598364,1.5314640534869564,0,22,M,R,
,,2,Main,8,0.7026905000020633,up,1,90,up,0.35346938775510206,conf,0.6799999999999999,1.3242368999999599,4.190862460260028,1.970460810863698,0,22,M,R,
,,2,Main,9,0.7329713000035554,up,1,90,up,0.3130612244897959,control,0.8400000000000001,1.0238086999997904,3.4048947542235117,3.458414085623954,0,22,M,R,
,,2,Main,10,0.8588189000001876,up,0,270,down,0.2726530612244898,conf,0.3600000000000001,2.18081119999988,3.35558829931539,1.3193654228074805,0,22,M,R,
,,2,Main,11,0.7318997000002128,down,1,270,down,0.39387755102040817,conf,0.24,0.9131118999976024,1.6774100364534281,2.0642960560879486,0,22,M,R,
,,2,Main,12,0.6393166000016208,up,1,90,up,0.3736734693877551,conf,0.56,1.13810039999953,3.4607796577869347,1.4646649717466862,0,22,M,R,
,,2,Main,13,0.771378100002039,down,1,270,down,0.35346938775510206,conf,0.56,1.3991071000018565,2.4522113201410987,2.599622624861839,0,22,M,R,
,,2,Main,14,0.6540382999992289,up,1,90,up,0.333265306122449,control,0.6799999999999999,1.0504976999982318,3.549418543461495,3.920225957235911,0,22,M,R,
,,2,Main,15,0.801516300001822,down,1,270,down,0.3130612244897959,control,0.24,1.8426727000005485,4.155778352454195,3.4551933430430104,0,22,M,R,
,,2,Main,16,0.7468399999997928,down,1,270,down,0.2726530612244898,conf,0.08000000000000007,1.052044100000785,1.8366864499688853,3.3213482997390895,0,22,M,R,
,,2,Main,17,0.7324202999989211,down,1,270,down,0.23224489795918368,control,-0.12,1.1397092000006523,2.169424455005678,2.8977965684634164,0,22,M,R,
,,2,Main,18,0.689310599998862,up,1,90,up,0.2120408163265306,conf,0.24,0.8171373999975913,3.382451981631651,3.2901940619189105,0,22,M,R,
,,2,Main,19,0.8800164999993285,up,0,270,down,0.19183673469387755,conf,-0.16000000000000003,1.0258059999978286,3.9495157568615937,2.622809610995948,0,22,M,R,
,,2,Main,20,0.9974426999979187,up,0,270,down,0.3130612244897959,conf,-0.21999999999999997,0.9937232000011136,2.8311109422284217,1.2015256993940557,0,22,M,R,
